kabupaten_geo,kabupaten_bps,kab_id,mean_ndvi,std_ndvi,mean_ndbi,log_ntl,std_ntl,ntl_cv,urban_pct,agri_pct,tree_pct,urban_ratio,agri_ratio,wealth_proxy,poverty_rate,poverty_depth,poverty_severity,jumlah_miskin,garis_kemiskinan
NIAS,Nias,1201,0.6827964450424896,0.5155606420674287,-0.2652821333448568,0.22221453740370783,0.0900859510505253,0.36202465300819586,0.2221616928550757,0.1744948162271667,97.22766040755177,0.002275679870260091,0.0017874113923498794,-0.10503666031010105,14.51,1.95,0.42,21.23,541016
MANDAILING NATAL,Mandailing Natal,1202,0.7453360631919314,0.2293661398148806,-0.2806660545507555,0.254776266448778,0.2205784983499778,0.7601622095063365,0.4669028291846039,0.7616717764610571,97.07175422153742,0.00474975856902211,0.007748415346606972,-0.10587889577922392,7.91,0.75,0.12,37.16,537240
TAPANULI SELATAN,Tapanuli Selatan,1203,0.7622749365853136,0.1508083461401654,-0.2816150527539123,0.3167204369046062,0.5711389287785175,1.532770091554869,0.2667183938703267,0.1546110903504995,98.60108341867364,0.0026935153976896317,0.0015613747011206205,-0.07857928469093332,6.16,0.61,0.1,17.77,527232
TAPANULI TENGAH,Tapanuli Tengah,1204,0.7310304110124121,0.2592725890123611,-0.2811067856378398,0.2722982494280644,0.3353811968463733,1.0715788979326846,1.0586490600390577,0.2912141427291906,94.23020763486812,0.011076043894520693,0.0030468081910493814,-0.09438899317980214,11.03,1.89,0.49,46.79,546223
TAPANULI UTARA,Tapanuli Utara,1205,0.7355630495374841,0.1562993322485988,-0.2712301943939,0.3030356772735886,0.3080661376000155,0.8703348609968594,1.504725527016494,1.2186240041630283,95.68352458308398,0.015290857885286623,0.012383525186950286,-0.07696382958887253,7.47,0.9,0.17,23.29,549677
TOBA SAMOSIR,Toba,1206,0.6465226754728673,0.1917178341770792,-0.2188343231266262,0.32329237985252773,0.498687548613579,1.306596038787496,2.760954243639474,5.359608178292029,90.21986555782009,0.02807547516681499,0.05450055779089734,-0.033308642106297484,7.21,0.88,0.18,13.46,549563
LABUHANBATU,Labuhan Batu,1207,0.6992705394519159,0.3189316366590044,-0.2219616254719622,0.40528481498367797,0.6930591043211596,1.3868682694655419,1.7496222655309084,1.2334216538565412,92.8226801264224,0.018262189268506757,0.012874195838933133,-0.0038001880401328514,7.37,0.66,0.11,40.49,575408
ASAHAN,Asahan,1208,0.7367656615726106,0.2005449557696631,-0.2637288539608868,0.5407875551144455,1.049976497973368,1.4636698300420772,1.7092246392300627,1.285124714316248,94.82102632401045,0.017473987370497168,0.013138268962464492,0.04392198905443462,7.18,1.1,0.29,54.57,469559
SIMALUNGUN,Simalungun,1209,0.7653061005101808,0.1252759960692125,-0.266399363604559,0.49020813354620346,0.7774280581973176,1.2288321998796474,2.56504345501215,5.993265751600792,88.07133673843825,0.026545098348707306,0.0620230540325987,0.012123037589697877,6.91,1.01,0.19,61.12,513793
DAIRI,Dairi,1210,0.696129502511531,0.1722025095705338,-0.2280751081833972,0.26613866453194535,0.2672124025584605,0.8763476164769839,1.729317856225956,2.689810468801139,94.13572323075148,0.017546755222366938,0.02729252214721059,-0.07457910069135269,6.98,0.56,0.09,20.05,521738
KARO,Karo,1211,0.7282460828322851,0.1277500555861397,-0.2228524387252768,0.4316743640935788,0.7491178015659948,1.3876827783813697,4.0510602192957,14.057333062597897,79.07499129778958,0.04168469987762292,0.14464749425424595,0.003332233862749334,6.66,0.62,0.11,30.67,678885
DELI SERDANG,Deli Serdang,1212,0.7165041353217491,0.1959724125215466,-0.2382070893467951,1.3311299772524057,5.080779162330267,1.8241287434579183,17.02913208318982,10.63529326838482,67.72882242979405,0.1785150676724919,0.11148895247554413,0.4508020347578145,3.11,0.55,0.16,77.7,525433
LANGKAT,Langkat,1213,0.783773196986722,0.1705030287242313,-0.2788022842514371,0.48697122649190816,0.7996968623670375,1.2746615107466819,2.6905294036381573,1.2272227838654743,93.3520160410477,0.027660489509097167,0.012616692793817625,0.0030902885731785568,8.42,1.14,0.22,90.28,528073
NIAS SELATAN,Nias Selatan,1214,0.5892467301350491,0.3194755324976842,-0.2977919656401302,0.20859543070474537,0.1228417302789107,0.5296123700475542,0.1920398429916008,0.0909359496283903,94.37175537078444,0.0020288456861187257,0.0009607121430771978,-0.1028892203666762,16.16,2.23,0.51,54.29,428859
